referrer,views_total,views_unique
Google,306,43
github.com,270,54
statics.teams.cdn.office.net,34,8
com.linkedin.android,28,13
linkedin.com,27,10
riscv.github.io,24,4
Bing,19,9
riscv.atlassian.net,10,2
DuckDuckGo,8,2
search.brave.com,7,3
