time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-12 00:00:00+00:00,414,21,291,39
2025-11-13 00:00:00+00:00,108,14,275,31
2025-11-14 00:00:00+00:00,68,13,136,25
2025-11-15 00:00:00+00:00,91,7,15,5
2025-11-16 00:00:00+00:00,4,3,39,17
2025-11-17 00:00:00+00:00,295,22,336,41
2025-11-18 00:00:00+00:00,232,15,176,36
2025-11-19 00:00:00+00:00,171,18,198,24
2025-11-20 00:00:00+00:00,89,13,88,19
2025-11-21 00:00:00+00:00,203,76,181,19
2025-11-22 00:00:00+00:00,33,24,28,12
2025-11-23 00:00:00+00:00,23,22,7,7
2025-11-24 00:00:00+00:00,214,69,167,30
2025-11-25 00:00:00+00:00,214,19,210,20
