url_path,views_total,views_unique
/riscv-software-src/riscv-unified-db,864,369
/riscv-software-src/riscv-unified-db/pulls,561,61
/riscv-software-src/riscv-unified-db/issues,310,125
/riscv-software-src/riscv-unified-db/actions,132,5
/riscv-software-src/riscv-unified-db/tree/main/spec,86,32
/riscv-software-src/riscv-unified-db/tree/main/spec/std/isa,82,27
/riscv-software-src/riscv-unified-db/commits/main,61,15
/riscv-software-src/riscv-unified-db/pull/1328,56,21
/riscv-software-src/riscv-unified-db/pull/1329,47,7
/riscv-software-src/riscv-unified-db/pull/1339,43,5
