referrer,views_total,views_unique
github.com,692,83
Google,457,71
riscv.org,95,27
statics.teams.cdn.office.net,39,9
DuckDuckGo,18,9
usc-word-edit.officeapps.live.com,18,1
Bing,15,11
riscv-software-src.github.io,12,3
search.brave.com,8,1
chatgpt.com,6,2
