referrer,views_total,views_unique
github.com,598,62
Google,335,45
riscv.org,80,36
Bing,33,9
DuckDuckGo,28,3
riscv-software-src.github.io,16,5
statics.teams.cdn.office.net,12,5
com.slack,10,4
afoliveira-riscv-isa-chatbot.hf.space,8,6
yandex.ru,8,1
