referrer,views_total,views_unique
github.com,480,54
Google,371,50
riscv.org,81,45
Bing,40,8
DuckDuckGo,28,3
lists.riscv.org,19,2
com.slack,14,6
afoliveira-riscv-isa-chatbot.hf.space,11,7
riscv-software-src.github.io,9,4
yandex.ru,8,1
