referrer,views_total,views_unique
github.com,307,53
Google,114,31
statics.teams.cdn.office.net,97,19
riscv.github.io,10,6
DuckDuckGo,8,1
search.brave.com,5,3
yandex.ru,5,3
Bing,3,2
chatgpt.com,1,1
claude.ai,1,1
